symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMD,2019-01-02 05:00:00+00:00,18.01,19.0,17.98,18.83,88116356.0,192395.0,18.602111
AMD,2019-01-03 05:00:00+00:00,18.42,18.68,16.94,17.045,118978110.0,310663.0,17.427699
AMD,2019-01-04 05:00:00+00:00,17.55,19.07,17.43,19.0,113264653.0,252476.0,18.468407
AMD,2019-01-07 05:00:00+00:00,19.44,20.68,19.0,20.57,108482326.0,286423.0,20.083112
AMD,2019-01-08 05:00:00+00:00,21.19,21.2,19.68,20.75,123521539.0,291269.0,20.409378
AMD,2019-01-09 05:00:00+00:00,20.89,21.44,20.07,20.19,165560225.0,412074.0,20.694152
AMD,2019-01-10 05:00:00+00:00,19.76,19.8342,18.9,19.74,117266900.0,273086.0,19.45191
AMD,2019-01-11 05:00:00+00:00,19.47,20.35,19.19,20.27,86927383.0,189426.0,19.988613
AMD,2019-01-14 05:00:00+00:00,19.96,20.62,19.75,20.23,72260899.0,163784.0,20.308208
AMD,2019-01-15 05:00:00+00:00,20.44,20.68,20.26,20.38,63748388.0,161368.0,20.463772
AMD,2019-01-16 05:00:00+00:00,20.4,20.54,19.71,19.73,72596909.0,154957.0,20.074451
AMD,2019-01-17 05:00:00+00:00,19.49,20.51,19.02,20.25,85921628.0,197997.0,19.812633
AMD,2019-01-18 05:00:00+00:00,20.37,21.05,20.02,20.77,89906159.0,193323.0,20.663917
AMD,2019-01-22 05:00:00+00:00,20.48,20.9199,19.7,19.76,80284960.0,184862.0,20.172967
AMD,2019-01-23 05:00:00+00:00,20.03,20.48,19.55,19.8,79274208.0,162704.0,19.945328
AMD,2019-01-24 05:00:00+00:00,20.06,21.01,20.04,20.85,99128345.0,232199.0,20.642831
AMD,2019-01-25 05:00:00+00:00,20.99,22.03,20.79,21.93,111565329.0,247709.0,21.432281
AMD,2019-01-28 05:00:00+00:00,20.315,21.01,20.02,20.18,136833525.0,330721.0,20.425176
AMD,2019-01-29 05:00:00+00:00,20.26,20.39,19.05,19.25,132293972.0,317171.0,19.680697
AMD,2019-01-30 05:00:00+00:00,21.48,23.13,21.37,23.09,214557807.0,548926.0,22.247866
AMD,2019-01-31 05:00:00+00:00,23.02,25.14,22.83,24.41,184450471.0,467928.0,24.43335
AMD,2019-02-01 05:00:00+00:00,24.61,24.84,24.065,24.51,106733849.0,268286.0,24.479709
AMD,2019-02-04 05:00:00+00:00,24.43,24.66,24.07,24.13,71851522.0,160437.0,24.324317
AMD,2019-02-05 05:00:00+00:00,23.42,23.86,22.98,23.31,123845138.0,274398.0,23.409118
AMD,2019-02-06 05:00:00+00:00,23.63,24.14,23.22,23.26,80052667.0,186442.0,23.587108
AMD,2019-02-07 05:00:00+00:00,22.99,23.22,22.32,22.67,88609532.0,204812.0,22.712394
AMD,2019-02-08 05:00:00+00:00,22.33,23.28,22.27,23.05,78286916.0,171605.0,22.747925
AMD,2019-02-11 05:00:00+00:00,23.05,23.2827,22.66,22.96,61693154.0,141311.0,22.952172
AMD,2019-02-12 05:00:00+00:00,23.43,23.56,22.75,22.82,69239831.0,158634.0,23.130999
AMD,2019-02-13 05:00:00+00:00,22.98,23.24,22.7138,22.85,58649353.0,129993.0,22.997258
AMD,2019-02-14 05:00:00+00:00,22.74,23.37,22.59,23.13,65260247.0,155801.0,23.058613
AMD,2019-02-15 05:00:00+00:00,23.58,24.05,23.2,23.68,79859949.0,182414.0,23.686459
AMD,2019-02-19 05:00:00+00:00,23.625,24.405,23.605,23.95,58660181.0,141770.0,24.130913
AMD,2019-02-20 05:00:00+00:00,24.14,24.37,23.9,23.95,58319602.0,124153.0,24.123834
AMD,2019-02-21 05:00:00+00:00,24.04,24.33,23.85,23.92,50519181.0,106243.0,24.089288
AMD,2019-02-22 05:00:00+00:00,24.07,24.36,23.88,24.36,53891322.0,113891.0,24.098312
AMD,2019-02-25 05:00:00+00:00,25.01,25.52,24.68,24.71,64704645.0,145942.0,25.075148
AMD,2019-02-26 05:00:00+00:00,24.65,24.72,24.15,24.21,50499478.0,109693.0,24.363179
AMD,2019-02-27 05:00:00+00:00,24.11,24.2299,23.21,23.48,63982449.0,158135.0,23.538426
AMD,2019-02-28 05:00:00+00:00,23.21,23.67,23.11,23.53,41131527.0,96577.0,23.418872
AMD,2019-03-01 05:00:00+00:00,23.97,24.19,23.45,23.68,46419225.0,105079.0,23.791607
AMD,2019-03-04 05:00:00+00:00,23.89,24.13,23.01,23.37,48972596.0,125835.0,23.521696
AMD,2019-03-05 05:00:00+00:00,23.34,23.68,23.01,23.5,36573333.0,91398.0,23.423116
AMD,2019-03-06 05:00:00+00:00,23.47,23.53,22.4,22.41,61674793.0,140568.0,22.751187
AMD,2019-03-07 05:00:00+00:00,22.33,22.4101,21.73,22.08,53562811.0,144803.0,22.071133
AMD,2019-03-08 05:00:00+00:00,21.35,22.085,21.035,22.01,51373988.0,127084.0,21.671172
AMD,2019-03-11 04:00:00+00:00,22.15,23.075,21.98,22.96,55727071.0,129624.0,22.739901
AMD,2019-03-12 04:00:00+00:00,23.1,23.795,22.78,23.49,57560455.0,133218.0,23.322688
AMD,2019-03-13 04:00:00+00:00,23.66,24.15,23.35,23.38,58992626.0,128481.0,23.74168
AMD,2019-03-14 04:00:00+00:00,23.37,23.49,22.8,22.82,44713773.0,102849.0,23.002613
AMD,2019-03-15 04:00:00+00:00,23.1,23.65,23.01,23.29,50265182.0,100104.0,23.381472
AMD,2019-03-18 04:00:00+00:00,23.3,23.62,23.04,23.25,35970479.0,82954.0,23.321101
AMD,2019-03-19 04:00:00+00:00,23.6,26.08,23.59,26.0,158057686.0,367254.0,25.172334
AMD,2019-03-20 04:00:00+00:00,26.49,26.88,25.31,25.7,154032842.0,351161.0,25.86483
AMD,2019-03-21 04:00:00+00:00,25.78,28.11,25.71,27.89,131130959.0,307714.0,27.246432
AMD,2019-03-22 04:00:00+00:00,27.54,27.75,26.33,26.37,117023146.0,271880.0,26.813305
AMD,2019-03-25 04:00:00+00:00,26.29,26.99,25.54,25.97,79591985.0,212191.0,26.118989
AMD,2019-03-26 04:00:00+00:00,26.69,26.98,25.46,25.69,77201623.0,187514.0,26.181142
AMD,2019-03-27 04:00:00+00:00,25.7,25.88,24.55,24.89,90454553.0,231100.0,24.941145
AMD,2019-03-28 04:00:00+00:00,25.1,25.56,24.65,25.06,65873538.0,153303.0,25.167175
AMD,2019-03-29 04:00:00+00:00,25.58,25.73,25.25,25.52,55323340.0,122676.0,25.462454
AMD,2019-04-01 04:00:00+00:00,26.42,26.555,25.83,26.36,64509665.0,163977.0,26.197119
AMD,2019-04-02 04:00:00+00:00,26.51,26.8,26.09,26.75,54570316.0,143790.0,26.488154
AMD,2019-04-03 04:00:00+00:00,28.02,29.9498,27.88,29.02,201546545.0,513719.0,29.142974
AMD,2019-04-04 04:00:00+00:00,28.88,29.385,28.61,29.09,83418200.0,224710.0,28.954172
AMD,2019-04-05 04:00:00+00:00,29.64,29.69,28.8,28.98,67103999.0,176033.0,29.069252
AMD,2019-04-08 04:00:00+00:00,28.69,28.95,28.18,28.53,59030639.0,162078.0,28.562446
AMD,2019-04-09 04:00:00+00:00,28.24,28.38,27.19,27.24,77022007.0,210557.0,27.583852
AMD,2019-04-10 04:00:00+00:00,27.46,28.12,27.32,27.83,65878731.0,162016.0,27.716698
AMD,2019-04-11 04:00:00+00:00,27.81,28.05,27.46,27.79,45612153.0,119287.0,27.79749
AMD,2019-04-12 04:00:00+00:00,28.21,28.38,27.66,27.85,42571502.0,108249.0,27.938591
AMD,2019-04-15 04:00:00+00:00,27.8,27.84,26.96,27.33,42808127.0,112065.0,27.279599
AMD,2019-04-16 04:00:00+00:00,27.72,28.18,27.49,27.93,48710070.0,129533.0,27.934104
AMD,2019-04-17 04:00:00+00:00,28.21,28.27,27.22,27.49,49499269.0,148673.0,27.559077
AMD,2019-04-18 04:00:00+00:00,27.6,27.88,27.34,27.68,41657222.0,111036.0,27.632434
AMD,2019-04-22 04:00:00+00:00,27.62,28.23,27.39,28.18,37370006.0,100565.0,27.960739
AMD,2019-04-23 04:00:00+00:00,28.18,28.49,27.79,27.97,42842027.0,116442.0,28.011785
AMD,2019-04-24 04:00:00+00:00,28.1,28.85,27.93,28.46,53099275.0,130077.0,28.48949
AMD,2019-04-25 04:00:00+00:00,28.67,28.86,27.36,27.66,58804401.0,175625.0,27.81367
