symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2019-01-02 05:00:00+00:00,130.64,138.48,130.05,136.22,13230805.0,114060.0,135.558384
NVDA,2019-01-03 05:00:00+00:00,133.79,135.16,127.6932,127.99,18312829.0,151603.0,129.489126
NVDA,2019-01-04 05:00:00+00:00,130.94,137.73,129.7,136.19,15339367.0,141613.0,134.602129
NVDA,2019-01-07 05:00:00+00:00,138.5,144.89,136.43,143.4,18273736.0,172632.0,141.890802
NVDA,2019-01-08 05:00:00+00:00,146.69,146.78,136.9,139.83,20366743.0,186455.0,139.949623
NVDA,2019-01-09 05:00:00+00:00,141.9,144.49,139.86,142.58,15988414.0,138102.0,142.241819
NVDA,2019-01-10 05:00:00+00:00,141.8,145.58,139.36,145.23,13524903.0,111378.0,143.638253
NVDA,2019-01-11 05:00:00+00:00,144.33,149.75,143.21,148.83,22437895.0,157970.0,147.697848
NVDA,2019-01-14 05:00:00+00:00,146.72,151.46,145.77,150.44,18691834.0,150121.0,149.643553
NVDA,2019-01-15 05:00:00+00:00,151.76,153.35,149.13,149.87,15938360.0,125675.0,151.140217
NVDA,2019-01-16 05:00:00+00:00,150.97,152.3,148.615,148.84,12179270.0,102247.0,150.06801
NVDA,2019-01-17 05:00:00+00:00,147.51,153.33,146.41,151.72,12807371.0,106368.0,150.118036
NVDA,2019-01-18 05:00:00+00:00,153.73,157.98,151.65,156.93,17165870.0,132230.0,155.773726
NVDA,2019-01-22 05:00:00+00:00,155.71,156.18,147.5507,148.77,17480204.0,148037.0,150.454494
NVDA,2019-01-23 05:00:00+00:00,151.0,154.58,148.03,149.29,15503998.0,116816.0,150.58628
NVDA,2019-01-24 05:00:00+00:00,152.7,158.55,152.51,157.84,18283074.0,140982.0,156.623209
NVDA,2019-01-25 05:00:00+00:00,155.44,160.88,151.3,160.15,30836691.0,187013.0,156.160322
NVDA,2019-01-28 05:00:00+00:00,136.55,141.64,131.0,138.01,64035520.0,475660.0,137.014371
NVDA,2019-01-29 05:00:00+00:00,136.15,138.1,131.01,131.6,29849172.0,242367.0,133.620915
NVDA,2019-01-30 05:00:00+00:00,134.67,137.97,131.46,137.39,24950092.0,192217.0,135.100408
NVDA,2019-01-31 05:00:00+00:00,137.26,145.19,136.3832,143.75,21778891.0,178303.0,142.46221
NVDA,2019-02-01 05:00:00+00:00,144.5,146.79,142.58,144.73,16266027.0,127905.0,145.142151
NVDA,2019-02-04 05:00:00+00:00,145.37,150.68,144.48,149.18,13649870.0,106523.0,148.712403
NVDA,2019-02-05 05:00:00+00:00,149.66,151.43,148.3,149.95,14103057.0,98983.0,149.755771
NVDA,2019-02-06 05:00:00+00:00,151.29,155.6,151.07,153.0,18461535.0,138604.0,153.441441
NVDA,2019-02-07 05:00:00+00:00,151.128,151.22,145.69,147.42,16423546.0,130498.0,147.805432
NVDA,2019-02-08 05:00:00+00:00,144.71,148.6,144.13,148.17,12017948.0,92922.0,146.371342
NVDA,2019-02-11 05:00:00+00:00,146.39,148.58,144.5,146.45,12991062.0,94559.0,146.583832
NVDA,2019-02-12 05:00:00+00:00,148.0,151.8,147.42,151.17,15247691.0,102025.0,150.362673
NVDA,2019-02-13 05:00:00+00:00,152.36,155.83,151.81,152.88,15626082.0,105238.0,153.591019
NVDA,2019-02-14 05:00:00+00:00,152.84,155.665,151.1,154.53,21067881.0,170302.0,156.712325
