timestamp,Stock/Currency,open,high,low,close
2019-01-02,AAPL,154.89,158.85,154.23,157.92
2019-01-03,AAPL,143.98,145.72,142.0,142.19
2019-01-04,AAPL,144.53,148.5499,143.8,148.26
2019-01-07,AAPL,148.7,148.83,145.9,147.93
2019-01-08,AAPL,149.56,151.82,148.52,150.75
2019-01-09,AAPL,151.22,154.53,149.63,153.31
2019-01-10,AAPL,152.5,153.97,150.86,153.8
2019-01-11,AAPL,152.88,153.7,151.51,152.29
2019-01-14,AAPL,150.85,151.27,149.22,150.0
2019-01-15,AAPL,150.27,153.39,150.05,153.07
2019-01-16,AAPL,153.08,155.88,153.0,154.94
2019-01-17,AAPL,154.2,157.66,153.26,155.86
2019-01-18,AAPL,157.5,157.88,155.9806,156.82
2019-01-22,AAPL,156.41,156.73,152.62,153.3
2019-01-23,AAPL,154.15,155.14,151.7,153.92
2019-01-24,AAPL,154.11,154.48,151.74,152.7
2019-01-25,AAPL,155.48,158.13,154.32,157.76
2019-01-28,AAPL,155.79,156.33,153.66,156.3
2019-01-29,AAPL,156.25,158.13,154.11,154.68
2019-01-30,AAPL,163.25,166.15,160.23,165.25
2019-01-31,AAPL,166.11,169.0,164.56,166.44
2019-02-01,AAPL,166.96,168.98,165.93,166.52
2019-02-04,AAPL,167.41,171.655,167.28,171.25
2019-02-05,AAPL,172.86,175.08,172.3501,174.18
2019-02-06,AAPL,174.65,175.57,172.8531,174.24
2019-02-07,AAPL,172.4,173.94,170.34,170.94
2019-02-08,AAPL,168.99,170.66,168.42,170.41
2019-02-11,AAPL,171.05,171.21,169.25,169.43
2019-02-12,AAPL,170.1,171.0,169.7,170.89
2019-02-13,AAPL,171.39,172.48,169.92,170.18
2019-02-14,AAPL,169.71,171.2615,169.38,170.8
2019-02-15,AAPL,171.25,171.7,169.75,170.42
2019-02-19,AAPL,169.71,171.44,169.49,170.93
2019-02-20,AAPL,171.19,173.32,170.99,172.03
2019-02-21,AAPL,171.8,172.37,170.3,171.06
2019-02-22,AAPL,171.58,173.0,171.38,172.95
2019-02-25,AAPL,174.15,175.87,173.95,174.23
2019-02-26,AAPL,173.71,175.3,173.1732,174.33
2019-02-27,AAPL,173.21,175.0,172.73,174.87
2019-02-28,AAPL,174.32,174.91,172.92,173.15
2019-03-01,AAPL,174.34,175.15,172.89,174.97
2019-03-04,AAPL,175.69,177.75,173.97,175.85
2019-03-05,AAPL,175.93,176.0,174.54,175.53
2019-03-06,AAPL,174.67,175.49,173.94,174.52
2019-03-07,AAPL,173.87,174.44,172.02,172.5
2019-03-08,AAPL,170.32,173.07,169.5,172.91
2019-03-11,AAPL,175.49,179.12,175.35,178.9
2019-03-12,AAPL,180.0,182.67,179.37,180.91
2019-03-13,AAPL,182.25,183.3,180.92,181.71
2019-03-14,AAPL,183.9,184.1,182.56,183.73
2019-03-15,AAPL,184.85,187.33,183.74,186.12
2019-03-18,AAPL,185.8,188.39,185.79,188.02
2019-03-19,AAPL,188.35,188.99,185.92,186.53
2019-03-20,AAPL,186.23,189.49,184.73,188.16
2019-03-21,AAPL,190.02,196.33,189.81,195.09
2019-03-22,AAPL,195.34,197.69,190.78,191.05
2019-03-25,AAPL,191.51,191.98,186.6,188.74
2019-03-26,AAPL,191.664,192.88,184.58,186.79
2019-03-27,AAPL,188.75,189.76,186.55,188.47
2019-03-28,AAPL,188.95,189.559,187.53,188.72
2019-03-29,AAPL,189.83,190.08,188.54,189.95
2019-04-01,AAPL,191.64,191.68,188.38,191.24
2019-04-02,AAPL,191.09,194.46,191.05,194.02
2019-04-03,AAPL,193.25,196.5,193.15,195.35
2019-04-04,AAPL,194.79,196.37,193.14,195.69
2019-04-05,AAPL,196.45,197.1,195.93,197.0
2019-04-08,AAPL,196.42,200.23,196.34,200.1
2019-04-09,AAPL,200.32,202.85,199.23,199.5
2019-04-10,AAPL,198.68,200.74,198.18,200.62
2019-04-11,AAPL,200.85,201.0,198.4431,198.95
2019-04-12,AAPL,199.2,200.14,196.21,198.87
2019-04-15,AAPL,198.58,199.85,198.01,199.23
2019-04-16,AAPL,199.46,201.37,198.56,199.25
2019-04-17,AAPL,199.54,203.38,198.61,203.13
2019-04-18,AAPL,203.12,204.15,202.52,203.86
2019-04-22,AAPL,202.83,204.94,202.34,204.53
2019-04-23,AAPL,204.43,207.75,203.9,207.48
2019-04-24,AAPL,207.36,208.48,207.05,207.16
2019-04-25,AAPL,206.83,207.76,205.12,205.28
2019-04-26,AAPL,204.9,205.0,202.12,204.3
2019-04-29,AAPL,204.4,205.97,203.86,204.61
2019-04-30,AAPL,203.06,203.4,199.11,200.67
2019-05-01,AAPL,209.88,215.31,209.23,210.52
2019-05-02,AAPL,209.84,212.65,208.13,209.15
2019-05-03,AAPL,210.89,211.84,210.23,211.75
2019-05-06,AAPL,204.29,208.84,203.5,208.48
2019-05-07,AAPL,205.88,207.4175,200.825,202.86
2019-05-08,AAPL,201.9,205.34,201.75,202.9
2019-05-09,AAPL,200.4,201.68,196.66,200.72
2019-05-10,AAPL,197.419,198.85,192.77,197.18
2019-05-13,AAPL,187.71,189.48,182.85,185.72
2019-05-14,AAPL,186.41,189.7,185.41,188.66
2019-05-15,AAPL,186.27,191.75,186.02,190.92
2019-05-16,AAPL,189.91,192.4689,188.84,190.08
2019-05-17,AAPL,186.93,190.9,186.76,189.0
2019-05-20,AAPL,183.52,184.349,180.2839,183.09
2019-05-21,AAPL,185.22,188.0,184.7,186.6
2019-05-22,AAPL,184.66,185.71,182.55,182.78
2019-05-23,AAPL,179.8,180.54,177.81,179.66
2019-05-24,AAPL,180.2,182.14,178.62,178.97
2019-05-28,AAPL,178.91,180.59,177.91,178.23
2019-05-29,AAPL,176.42,179.35,176.0,177.38
2019-05-30,AAPL,177.95,179.23,176.67,178.3
2019-05-31,AAPL,176.23,177.99,174.99,175.07
2019-06-03,AAPL,175.6,177.92,170.27,173.3
2019-06-04,AAPL,175.44,179.83,174.52,179.64
2019-06-05,AAPL,184.28,184.99,181.14,182.54
2019-06-06,AAPL,183.08,185.47,182.1489,185.22
2019-06-07,AAPL,186.51,191.92,185.77,190.15
2019-06-10,AAPL,191.81,195.37,191.62,192.58
2019-06-11,AAPL,194.86,196.0,193.6,194.81
2019-06-12,AAPL,193.95,195.97,193.385,194.19
2019-06-13,AAPL,194.7,196.79,193.6,194.15
2019-06-14,AAPL,191.545,193.5863,190.3,192.74
